region,F4
VMV1_R,-0.4760537747453172
VMV3_R,-0.3700184480020765
PHA2_R,-0.16739171158049576
V4t_R,-0.5567602794164909
FST_R,-0.4052462861249448
V3CD_R,-0.6315660744518051
LO3_R,-0.5689851190705497
VMV2_R,-0.5422800164415641
31pd_R,-0.42718256349059014
31a_R,0.2801446531375271
VVC_R,-0.17342410029892108
25_R,1.48632991238302
s32_R,-0.03433577539379027
pOFC_R,1.0861321652879024
PoI1_R,1.9204304975888657
Ig_R,0.8047804056250696
FOP5_R,0.750013286708653
p10p_R,-0.31843224888707683
p47r_R,0.05547853313590708
TGv_R,0.6848576516126794
MBelt_R,-1.3017924954407405
LBelt_R,-1.3451668647631085
A4_R,-0.2539783902425049
STSva_R,-0.9133174142900622
TE1m_R,-0.15464950116187423
PI_R,-1.9976651723766705
a32pr_R,-0.5485349582052786
p24_R,1.0718635481846062
